"Date","InMort_total","InMort_var","InMort_fix0_1","InMort_fix1_3","InMort_fix3_5","InMort_fix5","UnMort_total","UnMort_var","UnMort_fix0_1","UnMort_fix1_3","UnMort_fix3_5","UnMort_fix5","Credit_rate"
2019-01-01,"5916000000","955000000","635000000","1157000000","1099000000","2071000000","16193000000","4085000000","916000000","4212000000","3002000000","3978000000","15263000000"
2019-02-01,"5844000000","781000000","630000000","1261000000","837000000","2335000000","14605000000","3508000000","921000000","3927000000","2266000000","3983000000","15307000000"
2019-03-01,"6529000000","783000000","685000000","1425000000","1052000000","2585000000","16940000000","3583000000","1048000000","4479000000","2920000000","4909000000","16212000000"
2019-04-01,"8195000000","748000000","793000000","1993000000","1526000000","3135000000","20490000000","3337000000","1164000000","5668000000","4517000000","5805000000","19062000000"
2019-05-01,"10357000000","761000000","896000000","2218000000","2235000000","4248000000","26363000000","3275000000","1240000000","6617000000","7234000000","7997000000","20451000000"
2019-06-01,"11752000000","640000000","952000000","1681000000","3939000000","4540000000","29339000000","2681000000","1323000000","5480000000","11860000000","7994000000","19895000000"
2019-07-01,"12310000000","554000000","904000000","1569000000","3801000000","5483000000","33458000000","2553000000","1357000000","5154000000","13544000000","10851000000","21713000000"
2019-08-01,"11008000000","463000000","800000000","1394000000","3093000000","5258000000","31821000000","2162000000","1297000000","4949000000","11152000000","12260000000","20531000000"
2019-09-01,"10072000000","382000000","735000000","1395000000","2359000000","5202000000","28385000000","1748000000","1293000000","4645000000","9029000000","11669000000","19460000000"
2019-10-01,"10248000000","363000000","797000000","1314000000","2402000000","5372000000","30158000000","1677000000","1348000000","4591000000","8770000000","13772000000","19187000000"
2019-11-01,"9744000000","374000000","746000000","1078000000","2034000000","5512000000","28199000000","1705000000","1274000000","4325000000","7573000000","13323000000","17549000000"
2019-12-01,"8043000000","384000000","708000000","939000000","1681000000","4331000000","25281000000","1690000000","1173000000","3876000000","6760000000","11781000000","17689000000"
2020-01-01,"7572000000","366000000","662000000","925000000","1685000000","3934000000","23105000000","1738000000","1132000000","3623000000","6524000000","10086000000","16494000000"
2020-02-01,"7970000000","422000000","606000000","1090000000","1698000000","4154000000","22361000000","1836000000","1056000000","3810000000","6098000000","9560000000","16512000000"
2020-03-01,"9483000000","775000000","773000000","905000000","2043000000","4987000000","26327000000","4506000000","1294000000","3245000000","6297000000","10986000000","20268000000"
2020-04-01,"11703000000","1621000000","782000000","1083000000","2046000000","6172000000","29576000000","8081000000","1146000000","3267000000","5623000000","11459000000","14094000000"
2020-05-01,"11741000000","1761000000","681000000","1068000000","2001000000","6230000000","28143000000","8034000000","1009000000","3364000000","5220000000","10516000000","14697000000"
2020-06-01,"13555000000","1856000000","723000000","1058000000","1917000000","8001000000","29636000000","8469000000","1018000000","3305000000","5427000000","11417000000","18338000000"
2020-07-01,"13098000000","2014000000","748000000","912000000","1910000000","7515000000","31354000000","9248000000","1057000000","3206000000","5392000000","12451000000","19415000000"
2020-08-01,"13348000000","2132000000","663000000","894000000","1740000000","7920000000","32834000000","9730000000","1086000000","3021000000","5188000000","13809000000","19827000000"
2020-09-01,"13421000000","2025000000","651000000","801000000","1862000000","8082000000","36920000000","9875000000","1105000000","3079000000","6277000000","16584000000","21670000000"
2020-10-01,"13423000000","1827000000","646000000","767000000","1955000000","8229000000","39439000000","10345000000","1097000000","3171000000","7228000000","17598000000","20635000000"
2020-11-01,"11964000000","1521000000","571000000","624000000","2070000000","7179000000","37430000000","9719000000","1101000000","2981000000","7346000000","16283000000","20132000000"
2020-12-01,"10544000000","1378000000","528000000","528000000","2159000000","5953000000","37085000000","10096000000","934000000","2652000000","8168000000","15236000000","20241000000"
2021-01-01,"8738000000","1210000000","431000000","497000000","2060000000","4539000000","32318000000","8936000000","750000000","2283000000","8555000000","11793000000","17627000000"
2021-02-01,"8885000000","1293000000","377000000","470000000","1991000000","4755000000","32415000000","9161000000","670000000","2147000000","8321000000","12116000000","18525000000"
2021-03-01,"10794000000","1674000000","405000000","605000000","2139000000","5971000000","42471000000","13095000000","719000000","2732000000","9394000000","16532000000","22759000000"
2021-04-01,"11008000000","2360000000","476000000","665000000","2047000000","5460000000","40396000000","16182000000","740000000","2703000000","7972000000","12799000000","23450000000"
2021-05-01,"10406000000","2737000000","473000000","645000000","1782000000","4768000000","40247000000","18901000000","837000000","2888000000","6704000000","10917000000","23298000000"
2021-06-01,"11974000000","3427000000","549000000","660000000","1876000000","5462000000","46508000000","23028000000","880000000","3418000000","6985000000","12196000000","25808000000"
2021-07-01,"9476000000","3113000000","491000000","636000000","1571000000","3665000000","39989000000","22130000000","862000000","3209000000","5779000000","8009000000","23825000000"
2021-08-01,"8300000000","2973000000","469000000","614000000","1373000000","2872000000","37045000000","21637000000","873000000","3197000000","5132000000","6207000000","23779000000"
2021-09-01,"7445000000","2665000000","421000000","594000000","1264000000","2501000000","33042000000","19254000000","779000000","3000000000","4455000000","5554000000","21858000000"
2021-10-01,"7287000000","2532000000","402000000","549000000","1035000000","2769000000","34320000000","19890000000","780000000","2917000000","4076000000","6657000000","21728000000"
2021-11-01,"7499000000","2515000000","390000000","568000000","994000000","3032000000","36493000000","20526000000","844000000","3147000000","4346000000","7631000000","22922000000"
2021-12-01,"6191000000","2211000000","321000000","463000000","766000000","2429000000","32555000000","18903000000","740000000","2906000000","3534000000","6472000000","21859000000"
