"Date","GEO","VALUE","val_norm","Components","Unit of measure"
2013-07-01,"Canada",2.96,0.0296,"UnMort_fix3_5","Interest rate (percentage)"
2013-07-01,"Canada",7736,7.736e+09,"UnMort_fix5","Dollars (in millions)"
2013-07-01,"Canada",3.07,0.0307,"UnMort_fix5","Interest rate (percentage)"
2013-07-01,"Canada",17793,1.7793e+10,"Credit_rate","Dollars (in millions)"
2013-07-01,"Canada",5.38,0.0538,"Credit_rate","Interest rate (percentage)"
2013-08-01,"Canada",9576,9.576e+09,"InMort_total","Dollars (in millions)"
2013-08-01,"Canada",3.22,0.0322,"InMort_total","Interest rate (percentage)"
2013-08-01,"Canada",1518,1.518e+09,"InMort_var","Dollars (in millions)"
2013-08-01,"Canada",3.13,0.0313,"InMort_var","Interest rate (percentage)"
2013-08-01,"Canada",532,5.32e+08,"InMort_fix0_1","Dollars (in millions)"
2013-08-01,"Canada",4.89,0.0489,"InMort_fix0_1","Interest rate (percentage)"
2013-08-01,"Canada",1700,1.7e+09,"InMort_fix1_3","Dollars (in millions)"
2013-08-01,"Canada",2.88,0.0288,"InMort_fix1_3","Interest rate (percentage)"
2013-08-01,"Canada",1777,1.777e+09,"InMort_fix3_5","Dollars (in millions)"
2013-08-01,"Canada",3.11,0.0311,"InMort_fix3_5","Interest rate (percentage)"
2013-08-01,"Canada",4049,4.049e+09,"InMort_fix5","Dollars (in millions)"
2013-08-01,"Canada",3.22,0.0322,"InMort_fix5","Interest rate (percentage)"
2013-08-01,"Canada",16973,1.6973e+10,"UnMort_total","Dollars (in millions)"
2013-08-01,"Canada",3.12,0.0312,"UnMort_total","Interest rate (percentage)"
2013-08-01,"Canada",2827,2.827e+09,"UnMort_var","Dollars (in millions)"
2013-08-01,"Canada",3.1,0.031,"UnMort_var","Interest rate (percentage)"
2013-08-01,"Canada",376,3.76e+08,"UnMort_fix0_1","Dollars (in millions)"
2013-08-01,"Canada",4.46,0.0446,"UnMort_fix0_1","Interest rate (percentage)"
2013-08-01,"Canada",3723,3.723e+09,"UnMort_fix1_3","Dollars (in millions)"
2013-08-01,"Canada",2.93,0.0293,"UnMort_fix1_3","Interest rate (percentage)"
2013-08-01,"Canada",3404,3.404e+09,"UnMort_fix3_5","Dollars (in millions)"
2013-08-01,"Canada",3.07,0.0307,"UnMort_fix3_5","Interest rate (percentage)"
2013-08-01,"Canada",6643,6.643e+09,"UnMort_fix5","Dollars (in millions)"
2013-08-01,"Canada",3.19,0.0319,"UnMort_fix5","Interest rate (percentage)"
