"GEO","Date","Age0_17","Age18_64","Age65_over"
"Calgary",2018-03-01,331645,921087,172984
"Calgary",2018-04-01,332154,922093,173729
"Calgary",2018-05-01,332665,923123,174469
"Calgary",2018-06-01,333176,924189,175208
"Calgary",2018-07-01,333690,925300,175950
"Calgary",2018-08-01,334206,926466,176698
"Calgary",2018-09-01,334724,927693,177454
"Calgary",2018-10-01,335245,928985,178220
"Calgary",2018-11-01,335768,930348,178998
"Calgary",2018-12-01,336294,931784,179788
"Calgary",2019-01-01,336822,933300,180594
"Calgary",2019-02-01,337352,934900,181415
"Calgary",2019-03-01,337885,936588,182254
"Calgary",2019-04-01,338420,938370,183113
"Calgary",2019-05-01,338957,940249,183992
"Calgary",2019-06-01,339497,942231,184894
"Calgary",2019-07-01,340040,944320,185820
"Calgary",2019-08-01,340585,946521,186772
"Calgary",2019-09-01,341133,948838,187751
"Calgary",2019-10-01,341683,951276,188758
"Calgary",2019-11-01,342235,953840,189796
"Calgary",2019-12-01,342790,956534,190867
"Calgary",2020-01-01,343348,959363,191970
"Calgary",2020-02-01,343908,962332,193109
"Calgary",2020-03-01,344471,965445,194285
"Calgary",2020-04-01,345036,968707,195498
"Calgary",2020-05-01,345604,972123,196752
"Calgary",2020-06-01,346175,975697,198047
"Calgary",2020-07-01,346748,979433,199386
"Calgary",2020-08-01,347324,983338,200769
"Calgary",2020-09-01,347902,987414,202198
"Calgary",2020-10-01,348483,991667,203674
"Calgary",2020-11-01,349067,996102,205201
"Calgary",2020-12-01,349653,1000723,206778
"Calgary",2021-01-01,350242,1005534,208407
"Calgary",2021-02-01,350834,1010541,210091
"Calgary",2021-03-01,351429,1015748,211831
"Calgary",2021-04-01,352026,1021160,213627
"Calgary",2021-05-01,352626,1026781,215483
"Calgary",2021-06-01,353228,1032616,217399
"Calgary",2021-07-01,353834,1038670,219377
"Calgary",2021-08-01,354442,1044947,221419
"Calgary",2021-09-01,355053,1051452,223525
"Calgary",2021-10-01,355667,1058190,225699
"Calgary",2021-11-01,356283,1065164,227941
"Calgary",2021-12-01,356902,1072381,230252
"Edmonton",2013-01-01,274126,779652,141431
"Edmonton",2013-02-01,274280,784453,141592
"Edmonton",2013-03-01,274511,788993,141787
"Edmonton",2013-04-01,274815,793279,142017
"Edmonton",2013-05-01,275188,797319,142280
"Edmonton",2013-06-01,275628,801120,142575
"Edmonton",2013-07-01,276130,804690,142900
"Edmonton",2013-08-01,276691,808036,143254
"Edmonton",2013-09-01,277309,811166,143635
"Edmonton",2013-10-01,277978,814087,144043
"Edmonton",2013-11-01,278696,816807,144475
"Edmonton",2013-12-01,279460,819333,144931
"Edmonton",2014-01-01,280265,821673,145410
"Edmonton",2014-02-01,281109,823834,145909
"Edmonton",2014-03-01,281987,825824,146427
"Edmonton",2014-04-01,282897,827650,146964
"Edmonton",2014-05-01,283835,829319,147518
"Edmonton",2014-06-01,284797,830840,148087
"Edmonton",2014-07-01,285780,832220,148670
"Edmonton",2014-08-01,286780,833465,149266
"Edmonton",2014-09-01,287792,834582,149872
"Edmonton",2014-10-01,288810,835574,150487
"Edmonton",2014-11-01,289828,836446,151107
"Edmonton",2014-12-01,290841,837203,151730
"Edmonton",2015-01-01,291843,837850,152355
"Edmonton",2015-02-01,292828,838390,152978
"Edmonton",2015-03-01,293790,838830,153597
"Edmonton",2015-04-01,294724,839173,154210
"Edmonton",2015-05-01,295625,839424,154815
"Edmonton",2015-06-01,296485,839588,155409
"Edmonton",2015-07-01,297300,839670,155990
"Edmonton",2015-08-01,298066,839676,156556
"Edmonton",2015-09-01,298786,839623,157109
"Edmonton",2015-10-01,299466,839530,157653
"Edmonton",2015-11-01,300111,839416,158188
"Edmonton",2015-12-01,300727,839299,158720
"Edmonton",2016-01-01,301319,839199,159249
"Edmonton",2016-02-01,301893,839134,159779
"Edmonton",2016-03-01,302454,839123,160313
"Edmonton",2016-04-01,303008,839186,160854
"Edmonton",2016-05-01,303560,839340,161403
"Edmonton",2016-06-01,304115,839605,161964
"Edmonton",2016-07-01,304680,840000,162540
"Edmonton",2016-08-01,305258,840537,163132
"Edmonton",2016-09-01,305848,841205,163741
"Edmonton",2016-10-01,306448,841987,164364
"Edmonton",2016-11-01,307057,842864,165001
"Edmonton",2016-12-01,307671,843818,165649
"Edmonton",2017-01-01,308289,844833,166309
"Edmonton",2017-02-01,308908,845890,166978
"Edmonton",2017-03-01,309526,846971,167655
"Edmonton",2017-04-01,310142,848060,168339
"Edmonton",2017-05-01,310753,849137,169029
"Edmonton",2017-06-01,311356,850187,169723
"Edmonton",2017-07-01,311950,851190,170420
"Edmonton",2017-08-01,312533,852134,171119
"Edmonton",2017-09-01,313105,853024,171819
"Edmonton",2017-10-01,313668,853870,172521
"Edmonton",2017-11-01,314222,854682,173223
"Edmonton",2017-12-01,314768,855470,173926
"Edmonton",2018-01-01,315309,856243,174630
"Edmonton",2018-02-01,315843,857012,175333
"Edmonton",2018-03-01,316373,857787,176036
"Edmonton",2018-04-01,316900,858577,176739
"Edmonton",2018-05-01,317424,859393,177440
"Edmonton",2018-06-01,317947,860244,178141
"Edmonton",2018-07-01,318470,861140,178840
"Edmonton",2018-08-01,318993,862090,179537
"Edmonton",2018-09-01,319517,863100,180233
"Edmonton",2018-10-01,320043,864174,180925
"Edmonton",2018-11-01,320570,865316,181615
"Edmonton",2018-12-01,321100,866531,182301
"Edmonton",2019-01-01,321632,867823,182983
"Edmonton",2019-02-01,322167,869197,183660
"Edmonton",2019-03-01,322705,870656,184332
"Edmonton",2019-04-01,323248,872205,184999
"Edmonton",2019-05-01,323794,873850,185659
"Edmonton",2019-06-01,324344,875593,186313
"Edmonton",2019-07-01,324900,877440,186960
"Edmonton",2019-08-01,325461,879395,187599
"Edmonton",2019-09-01,326027,881462,188231
"Edmonton",2019-10-01,326600,883645,188854
"Edmonton",2019-11-01,327178,885950,189468
"Edmonton",2019-12-01,327764,888380,190072
"Edmonton",2020-01-01,328357,890940,190667
"Edmonton",2020-02-01,328957,893634,191251
"Edmonton",2020-03-01,329565,896466,191824
"Edmonton",2020-04-01,330181,899442,192386
"Edmonton",2020-05-01,330807,902565,192936
"Edmonton",2020-06-01,331441,905840,193474
"Edmonton",2020-07-01,332084,909271,193999
"Edmonton",2020-08-01,332738,912862,194510
"Edmonton",2020-09-01,333401,916619,195008
"Edmonton",2020-10-01,334076,920544,195491
"Edmonton",2020-11-01,334761,924644,195959
"Edmonton",2020-12-01,335457,928922,196412
"Edmonton",2021-01-01,336166,933382,196850
"Edmonton",2021-02-01,336886,938029,197271
"Edmonton",2021-03-01,337619,942867,197675
"Edmonton",2021-04-01,338365,947901,198063
"Edmonton",2021-05-01,339124,953136,198432
"Edmonton",2021-06-01,339896,958574,198783
"Edmonton",2021-07-01,340683,964222,199116
"Edmonton",2021-08-01,341484,970083,199429
"Edmonton",2021-09-01,342300,976161,199723
"Edmonton",2021-10-01,343131,982462,199996
"Edmonton",2021-11-01,343978,988989,200249
"Edmonton",2021-12-01,344840,995746,200481
"Sudbury",2013-01-01,31058,98092,25781
"Sudbury",2013-02-01,31112,98256,25952
"Sudbury",2013-03-01,31157,98390,26112
"Sudbury",2013-04-01,31194,98496,26260
"Sudbury",2013-05-01,31223,98575,26397
"Sudbury",2013-06-01,31245,98629,26523
"Sudbury",2013-07-01,31260,98660,26640
"Sudbury",2013-08-01,31269,98669,26748
"Sudbury",2013-09-01,31272,98657,26846
"Sudbury",2013-10-01,31270,98626,26937
"Sudbury",2013-11-01,31263,98579,27020
"Sudbury",2013-12-01,31252,98516,27096
"Sudbury",2014-01-01,31237,98438,27166
"Sudbury",2014-02-01,31218,98349,27230
"Sudbury",2014-03-01,31197,98248,27288
"Sudbury",2014-04-01,31173,98139,27342
"Sudbury",2014-05-01,31146,98021,27391
"Sudbury",2014-06-01,31119,97898,27437
"Sudbury",2014-07-01,31090,97770,27480
"Sudbury",2014-08-01,31061,97640,27520
"Sudbury",2014-09-01,31032,97510,27559
"Sudbury",2014-10-01,31005,97385,27598
"Sudbury",2014-11-01,30980,97267,27638
"Sudbury",2014-12-01,30959,97162,27680
"Sudbury",2015-01-01,30943,97072,27725
"Sudbury",2015-02-01,30933,97001,27775
"Sudbury",2015-03-01,30930,96953,27830
"Sudbury",2015-04-01,30935,96931,27892
"Sudbury",2015-05-01,30949,96939,27962
"Sudbury",2015-06-01,30974,96981,28041
"Sudbury",2015-07-01,31010,97060,28130
"Sudbury",2015-08-01,31058,97178,28230
"Sudbury",2015-09-01,31116,97331,28340
"Sudbury",2015-10-01,31183,97512,28457
"Sudbury",2015-11-01,31257,97713,28581
"Sudbury",2015-12-01,31334,97928,28708
"Sudbury",2016-01-01,31414,98151,28838
"Sudbury",2016-02-01,31495,98375,28968
"Sudbury",2016-03-01,31573,98593,29096
"Sudbury",2016-04-01,31648,98798,29222
"Sudbury",2016-05-01,31717,98983,29342
"Sudbury",2016-06-01,31779,99143,29455
"Sudbury",2016-07-01,31830,99270,29560
"Sudbury",2016-08-01,31870,99359,29655
"Sudbury",2016-09-01,31899,99413,29740
"Sudbury",2016-10-01,31918,99436,29816
"Sudbury",2016-11-01,31928,99433,29885
"Sudbury",2016-12-01,31930,99407,29948
"Sudbury",2017-01-01,31924,99363,30006
"Sudbury",2017-02-01,31912,99305,30059
"Sudbury",2017-03-01,31895,99238,30110
"Sudbury",2017-04-01,31873,99166,30158
"Sudbury",2017-05-01,31848,99092,30205
"Sudbury",2017-06-01,31820,99022,30252
"Sudbury",2017-07-01,31790,98960,30300
"Sudbury",2017-08-01,31759,98909,30350
"Sudbury",2017-09-01,31728,98868,30402
"Sudbury",2017-10-01,31697,98838,30456
"Sudbury",2017-11-01,31665,98815,30511
"Sudbury",2017-12-01,31633,98801,30567
"Sudbury",2018-01-01,31602,98792,30624
"Sudbury",2018-02-01,31571,98789,30681
"Sudbury",2018-03-01,31540,98789,30739
"Sudbury",2018-04-01,31511,98793,30797
"Sudbury",2018-05-01,31483,98798,30855
"Sudbury",2018-06-01,31456,98804,30913
"Sudbury",2018-07-01,31430,98810,30970
"Sudbury",2018-08-01,31406,98814,31026
"Sudbury",2018-09-01,31385,98817,31081
"Sudbury",2018-10-01,31365,98817,31136
"Sudbury",2018-11-01,31349,98816,31190
"Sudbury",2018-12-01,31336,98814,31242
"Sudbury",2019-01-01,31326,98809,31294
"Sudbury",2019-02-01,31320,98802,31346
"Sudbury",2019-03-01,31318,98794,31396
"Sudbury",2019-04-01,31321,98784,31446
"Sudbury",2019-05-01,31328,98771,31495
"Sudbury",2019-06-01,31341,98757,31543
"Sudbury",2019-07-01,31360,98740,31590
"Sudbury",2019-08-01,31385,98721,31637
"Sudbury",2019-09-01,31415,98700,31683
"Sudbury",2019-10-01,31453,98677,31728
"Sudbury",2019-11-01,31497,98651,31772
"Sudbury",2019-12-01,31549,98623,31816
"Sudbury",2020-01-01,31609,98593,31859
