"GEO","Date","Inc10k_less","Inc10_39k","Inc40_59k","Inc60_79k","Inc80_99k","Inc100_149k","Inc100k_over","Inc150k_over"
"Edmonton",2021-12-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2013-01-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2013-02-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2013-03-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2013-04-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2013-05-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2013-06-01,NA,NA,NA,NA,NA,NA,NA,NA
"Montreal",2013-07-01,0.055,0.268,0.183,0.12,0.112,0.142,0.262,0.12
"Montreal",2013-08-01,0.053,0.267,0.183,0.12,0.111,0.145,0.265,0.12
"Montreal",2013-09-01,0.052,0.266,0.184,0.121,0.11,0.148,0.267,0.12
"Montreal",2013-10-01,0.05,0.266,0.184,0.122,0.109,0.15,0.27,0.12
"Montreal",2013-11-01,0.048,0.265,0.184,0.122,0.108,0.153,0.273,0.12
"Montreal",2013-12-01,0.047,0.264,0.184,0.122,0.107,0.156,0.275,0.12
"Montreal",2014-01-01,0.045,0.263,0.184,0.123,0.107,0.158,0.278,0.12
"Montreal",2014-02-01,0.043,0.262,0.185,0.124,0.106,0.161,0.281,0.119
"Montreal",2014-03-01,0.042,0.261,0.185,0.124,0.105,0.164,0.283,0.119
"Montreal",2014-04-01,0.04,0.26,0.185,0.124,0.104,0.167,0.286,0.119
"Montreal",2014-05-01,0.038,0.26,0.186,0.125,0.103,0.169,0.289,0.119
"Montreal",2014-06-01,0.037,0.259,0.186,0.126,0.102,0.172,0.291,0.119
"Montreal",2014-07-01,0.035,0.258,0.186,0.126,0.101,0.175,0.294,0.119
"Montreal",2014-08-01,0.036,0.26,0.184,0.127,0.102,0.175,0.292,0.116
"Montreal",2014-09-01,0.037,0.261,0.183,0.127,0.103,0.175,0.289,0.114
"Montreal",2014-10-01,0.038,0.262,0.182,0.128,0.104,0.176,0.286,0.111
"Montreal",2014-11-01,0.039,0.264,0.18,0.128,0.105,0.176,0.284,0.109
"Montreal",2014-12-01,0.04,0.266,0.178,0.129,0.106,0.176,0.281,0.106
"Montreal",2015-01-01,0.04,0.267,0.177,0.13,0.108,0.176,0.279,0.104
"Montreal",2015-02-01,0.041,0.268,0.176,0.13,0.109,0.176,0.276,0.101
"Montreal",2015-03-01,0.042,0.27,0.174,0.131,0.11,0.176,0.274,0.098
"Montreal",2015-04-01,0.043,0.272,0.173,0.131,0.111,0.176,0.272,0.096
"Montreal",2015-05-01,0.044,0.273,0.171,0.132,0.112,0.177,0.269,0.093
"Montreal",2015-06-01,0.045,0.274,0.17,0.132,0.113,0.177,0.266,0.091
"Montreal",2015-07-01,0.046,0.276,0.168,0.133,0.114,0.177,0.264,0.088
"Montreal",2015-08-01,0.046,0.275,0.17,0.132,0.113,0.175,0.265,0.091
"Montreal",2015-09-01,0.046,0.273,0.173,0.131,0.112,0.172,0.266,0.095
"Montreal",2015-10-01,0.046,0.272,0.175,0.13,0.111,0.17,0.268,0.098
"Montreal",2015-11-01,0.046,0.27,0.177,0.129,0.11,0.168,0.269,0.102
"Montreal",2015-12-01,0.046,0.269,0.179,0.128,0.109,0.165,0.27,0.105
"Montreal",2016-01-01,0.046,0.268,0.182,0.126,0.108,0.163,0.271,0.109
"Montreal",2016-02-01,0.045,0.266,0.184,0.125,0.107,0.161,0.273,0.112
"Montreal",2016-03-01,0.045,0.265,0.186,0.124,0.106,0.158,0.274,0.115
"Montreal",2016-04-01,0.045,0.263,0.188,0.123,0.105,0.156,0.275,0.119
"Montreal",2016-05-01,0.045,0.262,0.19,0.122,0.104,0.154,0.276,0.122
"Montreal",2016-06-01,0.045,0.26,0.193,0.121,0.103,0.151,0.278,0.126
"Montreal",2016-07-01,0.045,0.259,0.195,0.12,0.102,0.149,0.279,0.129
"Montreal",2016-08-01,0.045,0.261,0.192,0.121,0.102,0.149,0.279,0.128
"Montreal",2016-09-01,0.045,0.263,0.189,0.122,0.103,0.15,0.278,0.128
"Montreal",2016-10-01,0.045,0.266,0.186,0.123,0.103,0.15,0.278,0.127
"Montreal",2016-11-01,0.045,0.268,0.183,0.124,0.103,0.151,0.278,0.126
"Montreal",2016-12-01,0.045,0.27,0.18,0.125,0.103,0.151,0.277,0.126
"Montreal",2017-01-01,0.044,0.272,0.176,0.126,0.104,0.152,0.277,0.125
"Montreal",2017-02-01,0.044,0.274,0.173,0.128,0.104,0.152,0.277,0.124
"Montreal",2017-03-01,0.044,0.276,0.17,0.129,0.104,0.152,0.276,0.124
"Montreal",2017-04-01,0.044,0.278,0.167,0.13,0.104,0.153,0.276,0.123
"Montreal",2017-05-01,0.044,0.281,0.164,0.131,0.105,0.153,0.276,0.122
"Montreal",2017-06-01,0.044,0.283,0.161,0.132,0.105,0.154,0.275,0.122
"Montreal",2017-07-01,0.044,0.285,0.158,0.133,0.105,0.154,0.275,0.121
"Montreal",2017-08-01,0.043,0.284,0.159,0.133,0.105,0.153,0.276,0.123
"Montreal",2017-09-01,0.042,0.283,0.16,0.133,0.105,0.153,0.277,0.124
"Montreal",2017-10-01,0.042,0.281,0.16,0.133,0.105,0.152,0.278,0.126
"Montreal",2017-11-01,0.041,0.28,0.161,0.133,0.105,0.152,0.279,0.127
"Montreal",2017-12-01,0.04,0.279,0.162,0.133,0.105,0.151,0.28,0.129
"Montreal",2018-01-01,0.039,0.278,0.163,0.132,0.106,0.15,0.281,0.13
"Montreal",2018-02-01,0.038,0.277,0.164,0.132,0.106,0.15,0.282,0.132
"Montreal",2018-03-01,0.037,0.276,0.165,0.132,0.106,0.149,0.283,0.134
"Montreal",2018-04-01,0.037,0.274,0.166,0.132,0.106,0.149,0.284,0.135
"Montreal",2018-05-01,0.036,0.273,0.166,0.132,0.106,0.148,0.285,0.137
"Montreal",2018-06-01,0.035,0.272,0.167,0.132,0.106,0.148,0.286,0.138
"Montreal",2018-07-01,0.034,0.271,0.168,0.132,0.106,0.147,0.287,0.14
