"Date","GEO","VALUE","val_norm","SCALAR_FACTOR","UOM","Census_type","Family_type","Statistics"
2016-07-01,"Vancouver",98430,98430,"units","Dollars","Couple families","Family types with 3 or more children","Median after-tax family income"
2016-07-01,"Vancouver",77790,77790,"units","Number","Lone-parent families","Family types with or without children","Number of families"
2016-07-01,"Vancouver",189390,189390,"units","Number","Lone-parent families","Family types with or without children","Number of persons"
2016-07-01,"Vancouver",65920,65920,"units","Number","Lone-parent families","Family types with or without children","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",109290,109290,"units","Number","Lone-parent families","Family types with or without children","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",14190,14190,"units","Number","Lone-parent families","Family types with or without children","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",47990,47990,"units","Dollars","Lone-parent families","Family types with or without children","Median before-tax family income"
2016-07-01,"Vancouver",45130,45130,"units","Dollars","Lone-parent families","Family types with or without children","Median after-tax family income"
2016-07-01,"Vancouver",51740,51740,"units","Number","Lone-parent families","Family types with 1 child","Number of families"
2016-07-01,"Vancouver",103470,103470,"units","Number","Lone-parent families","Family types with 1 child","Number of persons"
2016-07-01,"Vancouver",24880,24880,"units","Number","Lone-parent families","Family types with 1 child","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",66160,66160,"units","Number","Lone-parent families","Family types with 1 child","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",12430,12430,"units","Number","Lone-parent families","Family types with 1 child","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",46780,46780,"units","Dollars","Lone-parent families","Family types with 1 child","Median before-tax family income"
2016-07-01,"Vancouver",43710,43710,"units","Dollars","Lone-parent families","Family types with 1 child","Median after-tax family income"
2016-07-01,"Vancouver",20160,20160,"units","Number","Lone-parent families","Family types with 2 children","Number of families"
2016-07-01,"Vancouver",60490,60490,"units","Number","Lone-parent families","Family types with 2 children","Number of persons"
2016-07-01,"Vancouver",26250,26250,"units","Number","Lone-parent families","Family types with 2 children","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",32590,32590,"units","Number","Lone-parent families","Family types with 2 children","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",1650,1650,"units","Number","Lone-parent families","Family types with 2 children","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",51660,51660,"units","Dollars","Lone-parent families","Family types with 2 children","Median before-tax family income"
2016-07-01,"Vancouver",48890,48890,"units","Dollars","Lone-parent families","Family types with 2 children","Median after-tax family income"
2016-07-01,"Vancouver",5890,5890,"units","Number","Lone-parent families","Family types with 3 or more children","Number of families"
2016-07-01,"Vancouver",25430,25430,"units","Number","Lone-parent families","Family types with 3 or more children","Number of persons"
2016-07-01,"Vancouver",14790,14790,"units","Number","Lone-parent families","Family types with 3 or more children","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",10530,10530,"units","Number","Lone-parent families","Family types with 3 or more children","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",110,110,"units","Number","Lone-parent families","Family types with 3 or more children","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",46120,46120,"units","Dollars","Lone-parent families","Family types with 3 or more children","Median before-tax family income"
2016-07-01,"Vancouver",45030,45030,"units","Dollars","Lone-parent families","Family types with 3 or more children","Median after-tax family income"
2016-07-01,"Vancouver",443710,443710,"units","Number","Persons not in census families","Family types with or without children","Number of families"
2016-07-01,"Vancouver",443710,443710,"units","Number","Persons not in census families","Family types with or without children","Number of persons"
2016-07-01,"Vancouver",2250,2250,"units","Number","Persons not in census families","Family types with or without children","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",307550,307550,"units","Number","Persons not in census families","Family types with or without children","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",133920,133920,"units","Number","Persons not in census families","Family types with or without children","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",28510,28510,"units","Dollars","Persons not in census families","Family types with or without children","Median before-tax family income"
2016-07-01,"Vancouver",26780,26780,"units","Dollars","Persons not in census families","Family types with or without children","Median after-tax family income"
2016-07-01,"Vancouver",443710,443710,"units","Number","Persons not in census families","Family types without children","Number of families"
2016-07-01,"Vancouver",443710,443710,"units","Number","Persons not in census families","Family types without children","Number of persons"
2016-07-01,"Vancouver",2250,2250,"units","Number","Persons not in census families","Family types without children","Number of persons aged 0 to 17 years"
2016-07-01,"Vancouver",307550,307550,"units","Number","Persons not in census families","Family types without children","Number of persons aged 18 to 64 years"
2016-07-01,"Vancouver",133920,133920,"units","Number","Persons not in census families","Family types without children","Number of persons aged 65 years and over"
2016-07-01,"Vancouver",28510,28510,"units","Dollars","Persons not in census families","Family types without children","Median before-tax family income"
2016-07-01,"Vancouver",26780,26780,"units","Dollars","Persons not in census families","Family types without children","Median after-tax family income"
2016-07-01,"Victoria",178730,178730,"units","Number","All family units","Family types with or without children","Number of families"
2016-07-01,"Victoria",348860,348860,"units","Number","All family units","Family types with or without children","Number of persons"
2016-07-01,"Victoria",57790,57790,"units","Number","All family units","Family types with or without children","Number of persons aged 0 to 17 years"
2016-07-01,"Victoria",215090,215090,"units","Number","All family units","Family types with or without children","Number of persons aged 18 to 64 years"
2016-07-01,"Victoria",75970,75970,"units","Number","All family units","Family types with or without children","Number of persons aged 65 years and over"
2016-07-01,"Victoria",60100,60100,"units","Dollars","All family units","Family types with or without children","Median before-tax family income"
2016-07-01,"Victoria",53790,53790,"units","Dollars","All family units","Family types with or without children","Median after-tax family income"
2016-07-01,"Victoria",129000,129000,"units","Number","All family units","Family types without children","Number of families"
2016-07-01,"Victoria",180480,180480,"units","Number","All family units","Family types without children","Number of persons"
2016-07-01,"Victoria",480,480,"units","Number","All family units","Family types without children","Number of persons aged 0 to 17 years"
2016-07-01,"Victoria",111250,111250,"units","Number","All family units","Family types without children","Number of persons aged 18 to 64 years"
2016-07-01,"Victoria",68760,68760,"units","Number","All family units","Family types without children","Number of persons aged 65 years and over"
2016-07-01,"Victoria",48880,48880,"units","Dollars","All family units","Family types without children","Median before-tax family income"
2016-07-01,"Victoria",44050,44050,"units","Dollars","All family units","Family types without children","Median after-tax family income"
2016-07-01,"Victoria",25300,25300,"units","Number","All family units","Family types with 1 child","Number of families"
2016-07-01,"Victoria",67560,67560,"units","Number","All family units","Family types with 1 child","Number of persons"
2016-07-01,"Victoria",13850,13850,"units","Number","All family units","Family types with 1 child","Number of persons aged 0 to 17 years"
2016-07-01,"Victoria",47390,47390,"units","Number","All family units","Family types with 1 child","Number of persons aged 18 to 64 years"
2016-07-01,"Victoria",6320,6320,"units","Number","All family units","Family types with 1 child","Number of persons aged 65 years and over"
2016-07-01,"Victoria",89720,89720,"units","Dollars","All family units","Family types with 1 child","Median before-tax family income"
2016-07-01,"Victoria",79020,79020,"units","Dollars","All family units","Family types with 1 child","Median after-tax family income"
2016-07-01,"Victoria",18850,18850,"units","Number","All family units","Family types with 2 children","Number of families"
2016-07-01,"Victoria",72230,72230,"units","Number","All family units","Family types with 2 children","Number of persons"
2016-07-01,"Victoria",28520,28520,"units","Number","All family units","Family types with 2 children","Number of persons aged 0 to 17 years"
